TMDB ID,IMDb ID,Data proiezione,Film,Selezionatore,Tema,Anno,Regista/i,Durata,Paese/i di produzione,Link IMDb,Media voti F,Media voti I,Media voti P,Pubblico
1096633,tt27817584,14-Nov-2023,The Vanishing Soldier,Jolly,-,2023,Dani Rosenberg,105,IL,https://www.imdb.com/title/tt27817584,,,,
600583,tt10293406,22-Nov-2023,Il potere del cane,Serena,-,2021,Jane Campion,125,AU; CA; NZ; GB,https://www.imdb.com/title/tt10293406,,,,
205596,tt2084970,29-Nov-2023,The Imitation Game,Adriana,-,2014,Morten Tyldum,114,US,https://www.imdb.com/title/tt2084970,,,,
1058667,tt14065578,6-Dic-2023,Is There Anybody Out There?,Jolly,-,2023,Ella Glendining,87,GB,https://www.imdb.com/title/tt14065578,,,,
838148,tt8434110,13-Dic-2023,Murina,Vincenzo,-,2022,Antoneta Alamat Kusijanović,92,BR; HR; SI; US,https://www.imdb.com/title/tt8434110,,,,
517148,tt10199640,20-Dic-2023,La ragazza d'autunno,Francesco,-,2019,Kantemir Balagov,130,RU,https://www.imdb.com/title/tt10199640,,,,
976893,tt27503384,10-Gen-2024,Perfect Days,Jolly,-,2023,Wim Wenders,125,DE; JP,https://www.imdb.com/title/tt27503384,,,,
205,tt0395169,17-Gen-2024,Hotel Rwanda,Adriana,-,2004,Terry George,121,IT; ZA; GB; US,https://www.imdb.com/title/tt0395169,,,,
807196,tt11127680,24-Gen-2024,Boiling Point - Il disastro è servito,Vincenzo,-,2021,Philip Barantini,92,GB,https://www.imdb.com/title/tt11127680,,,,
9684,tt0158371,31-Gen-2024,Accordi e disaccordi,Serena,-,1999,Woody Allen,91,US,https://www.imdb.com/title/tt0158371,,,,
727012,tt12246266,7-Feb-2024,200 metri,Adriana,-,2020,Ameen Nayfeh,96,IT; JO; PS; QA; SE,https://www.imdb.com/title/tt12246266,,,,
370203,tt4716560,14-Feb-2024,La teoria svedese dell'amore,Francesco,-,2015,Erik Gandini,90,SE,https://www.imdb.com/title/tt4716560,,,,
833326,tt13482806,21-Feb-2024,Generazione Low Cost,Vincenzo,-,2022,Emmanuel Marre; Julie Lecoustre,110,BE; FR,https://www.imdb.com/title/tt13482806,,,,
